iter	RMSE
0	18.25771919
1	17.33193304
2	16.47736064
3	15.65543414
4	14.86620014
5	14.12636398
6	13.41693744
7	12.76738833
8	12.16002749
9	11.56559162
10	11.03197398
11	10.48106226
12	9.950904808
13	9.486016785
14	9.047139161
15	8.625094626
16	8.210150459
17	7.842167964
18	7.495006554
19	7.147789914
20	6.820504835
21	6.510069283
22	6.213628296
23	5.940998532
24	5.692094054
25	5.453289388
26	5.239277641
27	5.028987817
28	4.821632472
29	4.639956701
30	4.470445054
31	4.302637452
32	4.15278806
33	3.997396912
34	3.86299442
35	3.735452716
36	3.613996744
37	3.506213174
38	3.404907177
39	3.312205737
40	3.222288682
41	3.14206192
42	3.069082159
43	2.996693959
44	2.928958288
45	2.867471088
46	2.810836643
47	2.758970377
48	2.712262325
49	2.666025114
50	2.623774867
51	2.585813646
52	2.545588184
53	2.507444952
54	2.476299888
55	2.445461524
56	2.416429493
57	2.393281424
58	2.36832525
59	2.347558903
60	2.329117735
61	2.309158782
62	2.289451658
63	2.272223229
64	2.256188383
65	2.243048147
66	2.229738607
67	2.217589045
68	2.20603777
69	2.195805842
70	2.186108574
71	2.178023757
72	2.1686442
73	2.160898301
74	2.153441361
75	2.146215619
76	2.138992262
77	2.133119469
78	2.128130552
79	2.122949781
80	2.118588846
81	2.113474462
82	2.109355136
83	2.105121517
84	2.101302445
85	2.098291692
86	2.094967654
87	2.091934296
88	2.088977428
89	2.086136342
90	2.08339346
91	2.080619243
92	2.078298335
93	2.076133657
94	2.074173441
95	2.072138932
96	2.07017423
97	2.068493529
98	2.066733147
99	2.065194316
100	2.063644219
101	2.0620676
102	2.060596875
103	2.059287272
104	2.058052548
105	2.05691479
106	2.055953173
107	2.05480571
108	2.053608938
109	2.052596471
110	2.051433772
111	2.050535601
112	2.049496163
113	2.048044192
114	2.047114686
115	2.045724774
116	2.044992451
117	2.044341261
118	2.04366845
119	2.043060987
120	2.042458322
121	2.041800043
122	2.041335955
123	2.040997245
124	2.040493645
125	2.039479816
126	2.03872239
127	2.038107645
128	2.037585144
129	2.037049673
130	2.03676995
131	2.036036647
132	2.035675409
133	2.035422342
134	2.034930356
135	2.034574345
136	2.034012419
137	2.033809514
138	2.033187734
139	2.03279364
140	2.032420262
141	2.032012984
142	2.031465573
143	2.030776007
144	2.030188267
145	2.029875713
146	2.029572011
147	2.028938784
148	2.028158783
149	2.027466811
150	2.026940695
151	2.02641359
152	2.025926231
153	2.025480659
154	2.025115382
155	2.024353192
156	2.024110827
157	2.023732693
158	2.022943718
159	2.022511723
160	2.022169234
161	2.02140295
162	2.02106351
163	2.02060398
164	2.020294312
165	2.019696065
166	2.019167426
167	2.01868142
168	2.018452722
169	2.017692496
170	2.017300785
171	2.016786263
172	2.016270177
173	2.015954847
174	2.015439804
175	2.01508459
176	2.01470276
177	2.014355588
178	2.013826799
179	2.013392256
180	2.01290056
181	2.012170755
182	2.011813393
183	2.011509063
184	2.011164618
185	2.010905504
186	2.010324259
187	2.010009215
188	2.009359015
189	2.008686538
190	2.00826622
191	2.007740352
192	2.007149282
193	2.006839224
194	2.006542459
195	2.006031105
196	2.005663789
197	2.005360529
198	2.004840144
199	2.004402544
200	2.003697765
201	2.003196383
202	2.002655489
203	2.002186483
204	2.001697626
205	2.0012692
206	2.000815112
207	2.00042647
208	2.000089632
209	1.999699208
210	1.999069781
211	1.998747027
212	1.998381602
213	1.997830373
214	1.997402099
215	1.997099094
216	1.99664644
217	1.996236952
218	1.995879534
219	1.995370108
220	1.994948322
221	1.994558232
222	1.994273932
223	1.993885122
224	1.993490706
225	1.993204175
226	1.992848339
227	1.992563216
228	1.992061573
229	1.991729655
230	1.991471264
231	1.991243503
232	1.990804733
233	1.990464499
234	1.990192862
235	1.989898619
236	1.989478829
237	1.989127239
238	1.98875546
239	1.988505336
240	1.988163953
241	1.987838293
242	1.987476178
243	1.986995505
244	1.986732835
245	1.98631134
